"s","t","y","muhat","sigmahat","risk_c_95p06391","event_c_95p06391","risk_c_110p74993","event_c_110p74993"
4,42,65.974458239061,70.5340091079623,3.05677531222905,5.55111512312578e-16,0,0,0
4,43,62.819091764699,63.5295240449491,3.12500509364795,0,0,0,0
4,44,63.1613481420247,61.2509906542036,3.14246159697753,0,0,0,0
4,45,64.699079594107,61.6988111693378,3.1779090082193,0,0,0,0
4,46,59.0723423397009,61.1986110736391,2.52219859249208,0,0,0,0
4,47,63.2504853551401,61.5248894831935,2.22641407039562,0,0,0,0
4,48,61.8676676511745,61.1579613399445,2.42177189719337,0,0,0,0
4,49,70.6924525321796,69.0927468911631,3.39874596293316,1.0769163338864e-14,0,0,0
4,50,62.0808480867921,64.7692821492183,3.06931258113569,0,0,0,0
4,51,60.2583423983152,58.5156025137691,2.61241281048394,0,0,0,0
4,52,63.3904870270761,63.8142505926627,3.68097003053587,0,0,0,0
4,53,56.5237759353228,59.2276820371814,2.30490680899198,0,0,0,0
4,54,69.6698893202107,70.6259322599752,4.24180464293769,4.17536138996866e-09,0,0,0
4,55,67.7554662336874,70.7956019461635,3.74470224287318,4.5647707835883e-11,0,0,0
4,56,71.1256389578342,73.6141511407627,3.60496346904867,1.34019961794962e-09,0,0,0
4,57,70.8296808930253,72.7073276467535,3.77862831667153,1.64345670405908e-09,0,0,0
4,58,66.326328904627,66.9088955086972,3.1832106412679,0,0,0,0
4,59,67.6580892279964,69.3616042284413,3.45461364638426,5.02931030155196e-14,0,0,0
4,60,74.262631065856,74.7856300336207,3.98540154943847,1.80796569937414e-07,0,0,0
4,61,79.03011948323,78.6558109267337,3.81244312992003,8.39360934645761e-06,0,0,0
4,62,74.2770615644601,75.4043052185423,3.60640236193185,2.50005663948727e-08,0,0,0
4,63,75.326301577485,75.9137891678466,3.93130422694706,5.54647278105946e-07,0,0,0
4,64,77.1972301579832,74.911300132522,3.72415536560704,3.128032088906e-08,0,0,0
4,65,72.8309043863579,74.1086728023569,3.74770889294291,1.12571564292452e-08,0,0,0
4,66,78.8750583358799,76.7786961234845,4.1657991327622,5.68410311163614e-06,0,2.22044604925031e-16,0
4,67,83.7895954287426,81.9860539102663,3.43546080859807,7.04095007658667e-05,0,0,0
4,68,84.9668730937676,83.7333778320636,3.70817320942501,0.0011232174309751,0,1.59983137848485e-13,0
4,69,84.6208636505326,84.6854039400723,3.49043180419827,0.00147252527406005,0,4.08562073062058e-14,0
4,70,82.3223094983419,83.7441164401097,3.2981652958172,0.000299409778644621,0,1.11022302462516e-16,0
4,71,82.8713700831742,82.7504664691518,3.71154444083002,0.000453961870719555,0,2.27595720048157e-14,0
4,72,78.3467020811411,82.8180453853667,4.07450668683514,0.00132579327657978,0,3.55870888313348e-12,0
4,73,60.4124551356403,57.6033857650552,3.05164414154023,0,0,0,0
4,74,57.1857535547229,50.4194695732187,3.18731212620008,0,0,0,0
4,75,66.8455824321075,66.3653415618883,3.50183889309313,1.11022302462516e-16,0,0,0
4,76,62.2979716733575,59.2613880560716,2.52987324232099,0,0,0,0
4,77,63.6233521921195,62.1217588597072,3.36362226962113,0,0,0,0
4,78,57.1137463361107,56.8314667237066,2.82334171526734,0,0,0,0
4,79,58.71423389554,56.1035364733721,2.98545210525317,0,0,0,0
4,80,75.6818471092883,73.6142727833874,3.70189063417762,3.43159611837507e-09,0,0,0
4,81,63.328956422275,65.3831855417888,3.34833715636186,0,0,0,0
4,82,57.0122696765886,61.3829767211295,2.39052682948303,0,0,0,0
4,83,57.2239217081279,57.8298490669803,2.46105460612392,0,0,0,0
4,84,55.6576494569985,53.8684660138878,2.33999235839825,0,0,0,0
4,85,57.6685168726708,57.8708696817488,2.53006002389917,0,0,0,0
4,86,55.3300235841206,54.1992030123363,2.24748107717086,0,0,0,0
4,87,57.6344963573819,53.9777451450537,2.81547119171016,0,0,0,0
4,88,56.8808131798809,55.2701694820876,2.45568379361342,0,0,0,0
4,89,57.3369089184607,57.9114250406233,2.3710851780637,0,0,0,0
4,90,57.8088051638101,56.727329399859,2.48842809624929,0,0,0,0
4,91,66.3151623023069,67.0863382062367,3.60480106115865,4.21884749357559e-15,0,0,0
4,92,63.0519019132575,61.9822981576738,2.95531856036697,0,0,0,0
4,93,64.8761531637759,63.2167907159026,3.1431685021125,0,0,0,0
4,94,68.22134052915,68.0839569173509,3.23099682349825,0,0,0,0
4,95,74.3472778913847,73.1306635509965,3.72367601492198,1.92848736979556e-09,0,0,0
4,96,60.8872569341634,59.6692672256711,2.65045983693216,0,0,0,0
4,97,64.2567108567095,60.7183490604941,2.60638156993781,0,0,0,0
4,98,63.9215388459725,61.8176947626271,2.43534171973181,0,0,0,0
4,99,58.4852008745854,57.4603440184656,1.93427196658257,0,0,0,0
4,100,60.3646950913697,57.4726005164938,1.96089907820152,0,0,0,0
4,101,61.2768450784607,59.1725782383207,2.24599611396453,0,0,0,0
4,102,71.8812086227189,70.5862692825799,3.90769270158533,1.87658000250224e-10,0,0,0
4,103,64.5756326250035,67.1228218639872,3.00885912281688,0,0,0,0
4,104,63.4510109380344,60.6299663395064,3.02880215632258,0,0,0,0
4,105,69.7843634333485,70.9692555880553,3.62232969734378,1.4486190025309e-11,0,0,0
4,106,60.0949288414403,61.4360624548257,2.90314010223823,0,0,0,0
4,107,72.2874628555126,70.3534501594484,3.86301884188476,7.9400708230537e-11,0,0,0
5,2,68.1757814655967,69.2280327471757,3.15455724677943,1.11022302462516e-16,0,0,0
5,3,67.6745241167348,68.133301910437,2.45288185893387,0,0,0,0
5,4,70.0126119144042,73.1939244775496,2.90391624123107,2.50910403565285e-14,0,0,0
5,5,66.2637893627843,66.0928279967151,3.07142957125276,0,0,0,0
5,6,65.0311967215321,61.9744575891227,2.62707612686253,0,0,0,0
5,7,63.2347534414626,64.6389386072969,1.89977486742181,0,0,0,0
5,8,63.3795070501889,62.0619642688787,2.14704443697841,0,0,0,0
5,9,61.4595375922247,63.0501685013243,1.92110884320116,0,0,0,0
5,10,62.226896968086,64.1171696613924,1.93922812468313,0,0,0,0
5,11,59.8899980474127,59.2441200584025,1.31989605562932,0,0,0,0
5,12,59.7666509220259,59.8113035671677,2.01758353665855,0,0,0,0
5,13,62.2976269311462,61.9775551981317,2.09503807764927,0,0,0,0
5,14,60.2470542300549,61.41842649443,1.28845234362733,0,0,0,0
5,15,60.4253168306509,61.7231560269935,1.86781400452664,0,0,0,0
5,16,62.9016893289117,62.5956988703276,2.32074308492198,0,0,0,0
5,17,64.478617169685,68.5205177916971,2.59009055575691,0,0,0,0
5,18,63.8523159085181,65.3017952079017,2.42268566900129,0,0,0,0
5,19,65.7781930748164,66.7526761140864,2.64931810645189,0,0,0,0
5,20,65.0366813739074,68.1458478828758,2.2852004052144,0,0,0,0
5,21,65.833477928199,68.7091627648027,2.64185673157503,0,0,0,0
5,22,62.1954867176099,64.2969218143284,1.1276250129153,0,0,0,0
5,23,62.7262742488569,64.5259798637258,1.87596690258648,0,0,0,0
5,24,62.4194664288305,63.3624783744403,2.39452577966119,0,0,0,0
5,25,66.6477759266454,68.655118468907,3.47282752170121,1.43218770176645e-14,0,0,0
5,26,70.2334200224305,69.1423783651693,3.10296751409871,0,0,0,0
5,27,69.6735503734417,67.8469585146116,2.54081013066652,0,0,0,0
5,28,64.779842292326,63.3567009584187,2.21936144063265,0,0,0,0
5,29,65.6873094056113,63.2529318778436,2.41774181195674,0,0,0,0
5,30,66.1878872941227,67.8388577183234,2.2615374169598,0,0,0,0
5,31,71.9954341142529,72.8896659888054,2.92157326233185,1.59872115546023e-14,0,0,0
